Tiempo;Canal A;Canal B
(ms);(V);(V)

0,00005000;0,46876431;1,48442030
0,00645000;0,46876431;1,48442030
0,01285000;0,46876431;1,48442030
0,01925000;0,46876431;1,48442030
0,02565000;0,46876431;1,48442030
0,03205000;0,46876431;1,40629292
0,03845000;0,46876431;1,40629292
0,04485000;0,46876431;1,40629292
0,05125000;0,46876431;1,40629292
0,05765000;0,46876431;1,40629292
0,06405000;0,46876431;1,40629292
0,07045000;0,46876431;1,40629292
0,07685000;0,46876431;1,40629292
0,08325000;0,46876431;1,40629292
0,08964999;0,46876431;1,40629292
0,09604999;0,46876431;1,40629292
0,10244999;0,46876431;1,40629292
0,10884999;0,46876431;1,40629292
0,11524999;0,46876431;1,40629292
0,12164999;0,46876431;1,32816553
0,12804999;0,46876431;1,32816553
0,13444999;0,46876431;1,32816553
0,14084999;0,46876431;1,32816553
0,14724999;0,46876431;1,32816553
0,15364999;0,46876431;1,32816553
0,16004999;0,46876431;1,32816553
0,16644999;0,46876431;1,32816553
0,17284999;0,46876431;1,32816553
0,17924999;0,46876431;1,25003815
0,18564999;0,46876431;1,32816553
0,19204999;0,46876431;1,25003815
0,19844999;0,46876431;1,25003815
0,20484999;0,46876431;1,25003815
0,21124999;0,46876431;1,25003815
0,21764999;0,46876431;1,25003815
0,22404999;0,54689169;1,25003815
0,23044999;0,54689169;1,25003815
0,23684999;0,46876431;1,25003815
0,24324999;0,54689169;1,25003815
0,24964999;0,46876431;1,25003815
0,25604998;0,46876431;1,25003815
0,26244998;0,54689169;1,25003815
0,26884998;0,54689169;1,25003815
0,27524998;0,46876431;1,17191076
0,28164998;0,54689169;1,17191076
0,28804998;0,54689169;1,17191076
0,29444998;0,54689169;1,17191076
0,30084998;0,54689169;1,17191076
0,30724998;0,54689169;1,17191076
0,31364998;0,54689169;1,17191076
0,32004998;0,46876431;1,17191076
0,32644998;0,46876431;1,17191076
0,33284998;0,54689169;1,17191076
0,33924998;0,54689169;1,17191076
0,34564998;0,54689169;1,17191076
0,35204998;0,46876431;1,17191076
0,35844998;0,54689169;1,17191076
0,36484998;0,54689169;1,09378338
0,37124998;0,54689169;1,09378338
0,37764998;0,54689169;1,09378338
0,38404998;0,54689169;1,09378338
0,39044998;0,46876431;1,09378338
0,39684998;0,54689169;1,09378338
0,40324998;0,54689169;1,09378338
0,40964998;0,54689169;1,09378338
0,41604998;0,54689169;1,09378338
0,42244997;0,54689169;1,09378338
0,42884997;0,54689169;1,09378338
0,43524997;0,54689169;1,09378338
0,44164997;0,54689169;1,09378338
0,44804997;0,54689169;1,09378338
0,45444997;0,54689169;1,09378338
0,46084997;0,54689169;1,01565599
0,46724997;0,54689169;1,01565599
0,47364997;0,54689169;1,01565599
0,48004997;0,54689169;1,01565599
0,48644997;0,54689169;1,01565599
0,49284997;0,54689169;1,01565599
0,49924997;0,54689169;1,01565599
0,50564997;0,54689169;1,01565599
0,51204997;0,54689169;1,01565599
0,51844997;0,54689169;1,01565599
0,52484997;0,54689169;1,01565599
0,53124997;0,54689169;1,01565599
0,53764997;0,54689169;0,93752861
0,54404997;0,54689169;1,01565599
0,55044997;0,54689169;1,01565599
0,55684997;0,54689169;0,93752861
0,56324997;0,54689169;0,93752861
0,56964997;0,54689169;1,01565599
0,57604997;0,54689169;0,93752861
0,58244997;0,54689169;0,93752861
0,58884997;0,54689169;0,93752861
0,59524996;0,54689169;0,93752861
0,60164996;0,62501907;0,93752861
0,60804996;0,54689169;0,93752861
0,61444996;0,54689169;0,93752861
0,62084996;0,54689169;0,93752861
0,62724996;0,54689169;0,93752861
0,63364996;0,54689169;0,93752861
0,64004996;0,62501907;0,93752861
0,64644996;0,54689169;0,93752861
0,65284996;0,54689169;0,93752861
0,65924996;0,54689169;0,93752861
0,66564996;0,54689169;0,93752861
0,67204996;0,54689169;0,93752861
0,67844996;0,54689169;0,85940123
0,68484996;0,62501907;0,85940123
0,69124996;0,54689169;0,85940123
0,69764996;0,54689169;0,85940123
0,70404996;0,54689169;0,85940123
0,71044996;0,54689169;0,85940123
0,71684996;0,54689169;0,85940123
0,72324996;0,54689169;0,85940123
0,72964996;0,54689169;0,85940123
0,73604996;0,62501907;0,85940123
0,74244996;0,62501907;0,85940123
0,74884996;0,54689169;0,85940123
0,75524996;0,54689169;0,85940123
0,76164995;0,62501907;0,85940123
0,76804995;0,62501907;0,85940123
0,77444995;0,54689169;0,85940123
0,78084995;0,62501907;0,85940123
0,78724995;0,62501907;0,78127384
0,79364995;0,62501907;0,85940123
0,80004995;0,62501907;0,78127384
