Tiempo;Canal A;Canal B
(ms);(V);(V)

0,00005000;1,48442030;-0,03906369
0,00645000;1,48442030;-0,03906369
0,01285000;1,48442030;-0,03906369
0,01925000;1,48442030;-0,03906369
0,02565000;1,48442030;-0,03906369
0,03205000;1,48442030;-0,03906369
0,03845000;1,48442030;-0,03906369
0,04485000;1,48442030;-0,03906369
0,05125000;1,48442030;-0,03906369
0,05765000;1,48442030;-0,03906369
0,06405000;1,48442030;-0,03906369
0,07045000;1,48442030;-0,03906369
0,07685000;1,56254768;-0,03906369
0,08325000;1,48442030;-0,03906369
0,08964999;1,48442030;-0,03906369
0,09604999;1,48442030;-0,03906369
0,10244999;1,56254768;-0,03906369
0,10884999;1,48442030;-0,03906369
0,11524999;1,48442030;-0,03906369
0,12164999;1,48442030;-0,03906369
0,12804999;1,48442030;-0,03906369
0,13444999;1,48442030;-0,03906369
0,14084999;1,56254768;-0,03906369
0,14724999;1,56254768;-0,03906369
0,15364999;1,48442030;-0,03906369
0,16004999;1,48442030;-0,03906369
0,16644999;1,48442030;-0,03906369
0,17284999;1,56254768;-0,03906369
0,17924999;1,56254768;-0,03906369
0,18564999;1,56254768;-0,03906369
0,19204999;1,48442030;-0,03906369
0,19844999;1,48442030;-0,03906369
0,20484999;1,56254768;-0,03906369
0,21124999;1,56254768;-0,03906369
0,21764999;1,56254768;-0,03906369
0,22404999;1,56254768;-0,03906369
0,23044999;1,56254768;-0,03906369
0,23684999;1,56254768;-0,03906369
0,24324999;1,56254768;-0,03906369
0,24964999;1,56254768;-0,03906369
0,25604998;1,56254768;-0,03906369
0,26244998;1,56254768;-0,03906369
0,26884998;1,56254768;-0,03906369
0,27524998;1,56254768;-0,03906369
0,28164998;1,56254768;-0,03906369
0,28804998;1,56254768;-0,03906369
0,29444998;1,56254768;-0,03906369
0,30084998;1,56254768;-0,03906369
0,30724998;1,56254768;-0,03906369
0,31364998;1,56254768;-0,03906369
0,32004998;1,56254768;-0,03906369
0,32644998;1,56254768;-0,03906369
0,33284998;1,56254768;-0,03906369
0,33924998;1,56254768;-0,03906369
0,34564998;1,56254768;-0,03906369
0,35204998;1,56254768;-0,03906369
0,35844998;1,56254768;-0,03906369
0,36484998;1,56254768;-0,03906369
0,37124998;1,56254768;-0,03906369
0,37764998;1,56254768;-0,03906369
0,38404998;1,56254768;-0,03906369
0,39044998;1,56254768;-0,03906369
0,39684998;1,56254768;-0,03906369
0,40324998;1,56254768;-0,03906369
0,40964998;1,56254768;-0,03906369
0,41604998;1,56254768;-0,03906369
0,42244997;1,56254768;-0,03906369
0,42884997;1,56254768;-0,03906369
0,43524997;1,56254768;-0,03906369
0,44164997;1,56254768;-0,03906369
0,44804997;1,56254768;-0,03906369
0,45444997;1,56254768;-0,03906369
0,46084997;1,56254768;-0,03906369
0,46724997;1,56254768;-0,03906369
0,47364997;1,56254768;-0,03906369
0,48004997;1,56254768;-0,03906369
0,48644997;1,56254768;-0,03906369
0,49284997;1,56254768;-0,03906369
0,49924997;1,56254768;-0,03906369
0,50564997;1,56254768;-0,03906369
0,51204997;1,56254768;-0,03906369
0,51844997;1,56254768;-0,03906369
0,52484997;1,56254768;-0,03906369
0,53124997;1,56254768;-0,03906369
0,53764997;1,56254768;-0,03906369
0,54404997;1,56254768;-0,03906369
0,55044997;1,56254768;-0,03906369
0,55684997;1,56254768;-0,03906369
0,56324997;1,56254768;-0,03906369
0,56964997;1,56254768;-0,03906369
0,57604997;1,56254768;-0,03906369
0,58244997;1,64067507;-0,03906369
0,58884997;1,56254768;-0,03906369
0,59524996;1,56254768;-0,03906369
0,60164996;1,56254768;-0,03906369
0,60804996;1,56254768;-0,03906369
0,61444996;1,64067507;-0,03906369
0,62084996;1,64067507;-0,03906369
0,62724996;1,56254768;-0,03906369
0,63364996;1,56254768;-0,03906369
0,64004996;1,64067507;-0,03906369
0,64644996;1,64067507;-0,03906369
0,65284996;1,64067507;-0,03906369
0,65924996;1,64067507;-0,03906369
0,66564996;1,56254768;-0,03906369
0,67204996;1,56254768;-0,03906369
0,67844996;1,64067507;-0,03906369
0,68484996;1,64067507;-0,03906369
0,69124996;1,64067507;-0,03906369
0,69764996;1,56254768;-0,03906369
0,70404996;1,64067507;-0,03906369
0,71044996;1,64067507;-0,03906369
0,71684996;1,64067507;-0,03906369
0,72324996;1,56254768;-0,03906369
0,72964996;1,64067507;-0,03906369
0,73604996;1,64067507;-0,03906369
0,74244996;1,64067507;-0,03906369
0,74884996;1,64067507;-0,03906369
0,75524996;1,64067507;-0,03906369
0,76164995;1,64067507;-0,03906369
