Tiempo;Canal A;Canal B
(ms);(V);(V)

0,00005000;2,50007629;0,00000000
0,00645000;2,57820368;0,00000000
0,01285000;2,57820368;0,00000000
0,01925000;2,57820368;0,00000000
0,02565000;2,57820368;0,00000000
0,03205000;2,57820368;0,00000000
0,03845000;2,57820368;0,00000000
0,04485000;2,57820368;0,00000000
0,05125000;2,50007629;0,00000000
0,05765000;2,57820368;0,00000000
0,06405000;2,57820368;0,03906369
0,07045000;2,57820368;0,00000000
0,07685000;2,57820368;0,00000000
0,08325000;2,57820368;0,00000000
0,08964999;2,57820368;0,00000000
0,09604999;2,57820368;0,03906369
0,10244999;2,57820368;0,00000000
0,10884999;2,50007629;0,00000000
0,11524999;2,57820368;0,00000000
0,12164999;2,57820368;0,00000000
0,12804999;2,57820368;0,03906369
0,13444999;2,57820368;0,00000000
0,14084999;2,57820368;0,00000000
0,14724999;2,57820368;0,00000000
0,15364999;2,57820368;0,00000000
0,16004999;2,57820368;0,00000000
0,16644999;2,57820368;0,03906369
0,17284999;2,57820368;0,00000000
0,17924999;2,57820368;0,00000000
0,18564999;2,57820368;0,00000000
0,19204999;2,57820368;0,00000000
0,19844999;2,57820368;0,00000000
0,20484999;2,57820368;0,03906369
0,21124999;2,57820368;0,03906369
0,21764999;2,57820368;0,00000000
0,22404999;2,57820368;0,03906369
0,23044999;2,57820368;0,00000000
0,23684999;2,57820368;0,03906369
0,24324999;2,57820368;0,03906369
0,24964999;2,57820368;0,00000000
0,25604998;2,57820368;0,03906369
0,26244998;2,57820368;0,03906369
0,26884998;2,57820368;0,03906369
0,27524998;2,57820368;0,03906369
0,28164998;2,57820368;0,03906369
0,28804998;2,57820368;0,03906369
0,29444998;2,57820368;0,03906369
0,30084998;2,57820368;0,03906369
0,30724998;2,57820368;0,03906369
0,31364998;2,57820368;0,03906369
0,32004998;2,57820368;0,03906369
0,32644998;2,57820368;0,03906369
0,33284998;2,57820368;0,03906369
0,33924998;2,57820368;0,03906369
0,34564998;2,57820368;0,00000000
0,35204998;2,57820368;0,03906369
0,35844998;2,57820368;0,03906369
0,36484998;2,57820368;0,03906369
0,37124998;2,57820368;0,03906369
0,37764998;2,57820368;0,03906369
0,38404998;2,57820368;0,03906369
0,39044998;2,57820368;0,03906369
0,39684998;2,57820368;0,03906369
0,40324998;2,65633106;0,03906369
0,40964998;2,57820368;0,03906369
0,41604998;2,65633106;0,03906369
0,42244997;2,57820368;0,03906369
0,42884997;2,65633106;0,03906369
0,43524997;2,65633106;0,03906369
0,44164997;2,65633106;0,03906369
0,44804997;2,57820368;0,03906369
0,45444997;2,65633106;0,03906369
0,46084997;2,65633106;0,03906369
0,46724997;2,65633106;0,03906369
0,47364997;2,65633106;0,03906369
0,48004997;2,65633106;0,03906369
0,48644997;2,65633106;0,03906369
0,49284997;2,65633106;0,03906369
0,49924997;2,65633106;0,03906369
0,50564997;2,65633106;0,03906369
0,51204997;2,65633106;0,03906369
0,51844997;2,65633106;0,03906369
0,52484997;2,65633106;0,03906369
0,53124997;2,65633106;0,03906369
0,53764997;2,65633106;0,03906369
0,54404997;2,65633106;0,03906369
0,55044997;2,65633106;0,03906369
0,55684997;2,65633106;0,03906369
0,56324997;2,57820368;0,03906369
0,56964997;2,65633106;0,03906369
0,57604997;2,65633106;0,03906369
0,58244997;2,65633106;0,03906369
0,58884997;2,65633106;0,03906369
0,59524996;2,65633106;0,03906369
0,60164996;2,65633106;0,03906369
0,60804996;2,65633106;0,03906369
0,61444996;2,65633106;0,03906369
0,62084996;2,65633106;0,03906369
0,62724996;2,65633106;0,03906369
0,63364996;2,65633106;0,03906369
0,64004996;2,65633106;0,03906369
0,64644996;2,65633106;0,03906369
0,65284996;2,65633106;0,03906369
0,65924996;2,65633106;0,07812738
0,66564996;2,65633106;0,03906369
0,67204996;2,65633106;0,03906369
0,67844996;2,65633106;0,07812738
0,68484996;2,65633106;0,07812738
0,69124996;2,65633106;0,03906369
0,69764996;2,65633106;0,03906369
0,70404996;2,65633106;0,07812738
0,71044996;2,65633106;0,03906369
0,71684996;2,65633106;0,03906369
0,72324996;2,65633106;0,03906369
0,72964996;2,65633106;0,07812738
0,73604996;2,65633106;0,07812738
0,74244996;2,65633106;0,03906369
0,74884996;2,65633106;0,07812738
0,75524996;2,65633106;0,07812738
0,76164995;2,65633106;0,07812738
0,76804995;2,65633106;0,07812738
0,77444995;2,65633106;0,07812738
0,78084995;2,65633106;0,07812738
0,78724995;2,65633106;0,03906369
0,79364995;2,65633106;0,07812738
0,80004995;2,73445845;0,07812738
